canc_flag,gender,federal_state,region_type (Locality),qu_avg_liv_area,serv_revenue_avg,revenue_avg,discount_avg,serv_revenue_std,revenue_std,discount_std,device_type,months_since_act,stars,remaining_months,mon_since_con_start,mon_since_last_subsi,mon_til_next_subsi,voice_min_wireline_avg,voice_min_onnet_avg,voice_min_offnet_avg,data_vol_total_avg,voice_min_onnet_std,voice_min_offnet_std,data_vol_total_std,tot_nbr_calls,avg_days_of_usage_avg
0,0,1,3,3,37.632,41.8323,-4.2003,1.5345,1.3259,0.0008,0,104,2,14,11,11,14,9.56285,15.78285,12.2814,0.1364,11.2312,10.257249,0.0572,21,0
0,1,2,2,3.5955,40.0502,43.0748,-3.0245,1.5345,1.3259,0.0923,0,172,2,8,29,29,-4,4.5114,15.78285,9.0743,0.3115,11.2312,9.9478,0.17135,28,0
0,0,3,2,3.0068,48.2823,60.8904,-12.6081,2.8913,1.3259,0.0024,0,199,3,14,11,11,14,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.1626,26,10.9211
0,0,4,2,3.0068,11.5331,11.7693,-0.2362,0.5205,0.4003,0.0923,3,31,1,6,15,11,6,2.5086,0.2771,3.1429,0.0458,0.2917,3.2333,0.0213,7,5.505
1,0,5,4,3.375,34.4719,39.9142,-5.4423,1.5345,1.3259,0.0923,1,26,3,19,6,6,19,1.4,0.0486,8.1343,0.41025,0.111,15.7327,0.1886,7,5.505
0,1,6,3,3.375,26.4143,47.5665,-21.1522,0.1604,0.2987,0.1617,3,16,2,9,16,16,9,16.9857,15.78285,12.2814,0.1764,18.5472,10.257249,0.0824,26,5.505
0,0,7,3,2.5491,35.7599,48.368,-12.6081,1.8289,1.8267,0.0024,0,31,3,18,7,8,17,6.9586,11.0257,10.5314,0.41025,5.3428,7.7821,0.17135,14,5.505
0,1,1,3,2.5406,11.7734,11.7734,0,1.4649,1.4649,0,3,224,1,2,15,16,6,6.83,3.4743,1.3886,0,3.4858,1.0835,0,5,5.505
0,0,17,-1,2.5406,64.2208,64.2208,0,1.356,1.356,0,0,61,3,14,11,11,14,5.86,28.45,12.2814,0.41025,14.0865,10.257249,0.17135,21,12.4925
0,0,17,-1,2.5406,30.6825,30.6825,0,0.6514,0.6514,0,3,267,2,6,15,16,6,4.04,4.9114,4.4286,0,10.2338,3.5517,0,21,12.4925
1,0,5,3,3.6936,55.5255,63.0624,-7.5369,2.712,0.6806,0.0923,0,30,3,19,6,9,19,0.5171,0.1014,0.4014,0.41025,0.2012,0.955,0.17135,4,7.9257
0,1,2,2,2.7059,36.5901,49.4993,-12.9092,2.5012,2.3811,0.0923,0,84,3,22,3,19,6,2.5386,15.78285,4.2971,0.41025,11.2312,7.5926,0.17135,26,11.3512
1,0,4,4,3.2553,56.4256,56.4256,0,1.5345,1.3259,0,3,13,3,12,13,13,12,13.0129,10.8857,3.9886,0.41025,7.3613,3.0277,0.17135,26,11.3512
0,0,8,2,3.8095,53.6381,53.6381,0,1.3564,1.3564,0,0,168,3,9,15,16,-1,0.8229,4.59,3.6929,0.0056,3.8176,2.9567,0.0047,13,11.3512
0,1,2,2,3.7282,52.9849,61.4674,-8.4825,0.6215,0.6178,0.0896,1,61,3,6,19,19,7,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,3,11.3512
0,1,4,-1,3.3346,52.119,69.2589,-0.3332,1.5345,1.3259,0.0923,1,107,3,22,3,8,17,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,43,11.3512
0,0,9,2,3.3089,33.691,42.0942,-8.4032,0.201,0.23,0.0326,1,159,3,24,1,1,24,2.3043,12.4114,5.5157,0.164,8.2411,8.4148,0.084,11,11.3512
1,0,6,4,2.9422,29.8138,86.6605,-8.6882,1.5345,1.3259,0.0923,1,41,3,17,8,8,17,9.56285,1.3843,0.4371,0.41025,1.9188,0.9547,0.17135,11,15.6667
1,0,6,4,2.9422,29.8138,81.6972,-3.6051,1.5345,1.3259,0.0923,1,54,3,20,5,5,20,9.56285,5.1586,2.87,0.41025,11.2503,3.2365,0.17135,26,13.1106
0,1,6,4,3,29.8138,81.6972,-3.6051,1.5345,1.3259,0.0923,1,1,3,24,1,1,24,0,0.02,0,0,0,0,0,4,13.1106
0,1,10,4,3.7849,29.8138,84.5694,0,1.5345,1.3259,0,3,166,3,7,15,16,6,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.2735,26,13.1106
0,0,10,4,2.2917,30.7809,32.4532,-1.6723,1.4093,1.4093,0,0,135,2,7,18,18,7,2.6957,15.78285,13.2714,0.4301,11.2312,7.458,0.1763,22,13.1106
0,1,9,2,2.9653,28.7274,72.6261,-15.8875,1.5345,2.0805,0.0923,3,6,3,19,6,6,20,9.56285,15.78285,12.2814,0.41025,16.8782,10.257249,0.17135,26,5.5251
1,1,9,2,2.9653,29.8138,70.0693,-15.6105,0,0,0,3,1,0,24,1,1,24,0,0,0,0.1002,0,0,0,26,5.5251
0,0,9,2,3.125,8.3614,8.3614,0,0,0,0,3,12,1,13,12,1,6,0,0.12,0,0,0.2665,0,0,1,5.5251
1,1,8,3,3,25.9874,34.5122,-8.5248,0.4872,0.6581,0.1847,0,59,3,13,12,12,13,5.1914,15.78285,1.0157,0.3581,11.2312,1.9984,0.1707,38,5.5251
0,0,9,2,2.6667,41.1659,60.8625,-19.6966,1.5345,1.9814,0.0923,3,10,3,15,10,12,-8,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,5.5251
1,0,17,-1,2.6667,4.1676,4.1676,0,0.0122,0.0122,0,3,30,0,10,27,12,6,0,1.2029,0,0,1.6338,0,0,26,5.5251
0,0,6,3,3.8404,29.8138,42.06435,0,1.5345,1.3259,0,1,226,4,12,13,13,12,13.6357,25.0686,12.2814,0.41025,14.8442,10.257249,0.17135,26,16.1334
1,1,6,4,2.6451,29.8138,42.06435,-25.2229,1.5345,1.3259,0.1179,1,21,3,14,11,21,4,11.4029,6.0586,16.6486,0.41025,6.3423,10.257249,0.17135,14,13.3215
0,0,7,2,3.0445,10.5855,11.0965,-0.511,0.8523,0.0883,0.0923,3,192,1,7,30,21,6,0.3871,1.6657,2.14,0.2147,2.6888,2.3875,0.1373,1,13.3215
0,1,6,2,3.5256,39.8708,45.0764,-5.2056,0,0,0,3,4,1,21,4,4,21,0.3475,15.78285,21.64,0.41025,11.2312,10.257249,0.17135,6,5.5615
0,1,5,2,3.3291,36.7005,49.5486,-12.8481,2.0046,2.2402,0.0923,3,138,2,10,15,15,10,9.92,12.01,3.49,0.373,10.0199,4.8269,0.0863,6,12.4559
0,0,9,3,3.1254,10.0492,10.0492,0,0.2514,0.2514,0,3,178,1,3,15,16,6,2.4229,3.6629,0.0114,0,2.9799,0.028,0,1,12.4559
0,0,4,3,2.5949,20.2858,46.3918,-26.106,0.2104,0.6082,0.0923,3,23,2,2,23,23,2,10.71,20.2643,3.3243,0.41025,11.2312,2.5537,0.17135,25,9.6567
0,1,1,3,2.6107,44.9495,56.8409,-9.6833,1.5345,1.3259,0.0923,0,98,3,21,4,27,-2,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,8.6937
0,1,5,2,2.5388,13.9271,15.2209,-1.2939,1.3786,0.1649,0.0923,0,28,1,9,28,28,-3,0.1214,1.91,0,0.0228,2.5359,0,0.0282,26,8.4554
0,1,9,4,3.2941,29.8138,33.8941,-4.7099,0,0,0,3,4,0,21,4,4,21,4.355,11.4,19.2525,0.41025,5.9692,19.9124,0.17135,26,2.9375
0,1,8,3,3.2941,14.6224,27.4584,-12.836,2.6766,1.3259,0.0923,3,84,1,10,27,4,6,12.4057,15.78285,12.2814,0.1168,11.2312,10.257249,0.135,32,2.975
0,0,7,2,3.1521,12.692,15.8565,-1.5861,1.822,1.5164,0.0923,3,7,2,18,7,4,-3,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,32,2.975
0,0,6,2,3.1882,36.6168,53.4277,-16.8109,0.9329,0.9298,0.0032,3,25,3,24,1,25,0,9.56285,15.78285,12.2814,0.41025,14.4025,10.257249,0.17135,26,2.975
0,1,5,-1,3.6936,29.8138,80.8673,-8.3893,0.747,0.7234,0.0543,0,184,3,22,3,3,22,9.56285,15.78285,12.2814,0.4806,17.1739,10.257249,0.2194,26,8.5463
0,1,17,-1,3.6936,7.4903,7.4903,0,0.9488,0.9488,0,3,142,0,3,15,3,6,0,13.61,0,0,5.2263,0,0,14,8.5463
0,1,4,2,3.1235,11.7597,12.014,-0.2543,0.5036,0.8051,0.0923,3,100,1,3,22,16,6,0.7329,5.0343,6.43,0.2101,2.1026,3.208,0.1168,14,13.7118
0,0,9,3,3.1235,32.4553,53.4553,-21,1.5345,1.3259,0,3,57,2,4,15,16,6,3.9643,15.78285,21.8514,0.3066,11.2312,11.8642,0.0664,14,6.6017
0,0,11,4,3.1235,32.4553,53.4553,-21,1.5345,1.3259,0,1,1,0,24,1,1,24,0,0,0,0,0,0,0,1,6.6017
0,1,12,2,3,34.977,43.3802,-8.4032,0.8312,0.8325,0.0326,0,185,3,7,18,18,7,9.56285,15.78285,21.5086,0.3043,11.2312,18.6119,0.1171,26,9.3933
0,1,8,2,3.331,27.3308,31.5755,-1.8437,1.5345,1.3259,0.0923,0,167,2,23,2,2,23,2.07,16.0029,12.9843,0.2218,7.0822,6.2764,0.17135,26,5
0,1,4,-1,4,42.03,42.2168,-0.1868,2.9416,1.3259,0.0923,3,173,2,9,16,16,9,15.3557,7.1843,5.18,0.2996,5.5988,4.2103,0.1885,26,5
0,0,1,2,3.3652,54.8406,54.8406,0,0.4275,0.4275,0,0,88,3,7,18,18,7,10.9757,7.6386,3.6657,0.1332,6.9377,1.855,0.1029,26,5.8804
0,0,8,2,3,35.282,39.4837,-4.2017,1.5345,1.3259,0,3,170,2,12,15,16,6,3.1643,9.05,8.89,0.001,3.5866,6.2298,0.001,14,1.8792
